geometry_type,latitude,longitude,global_id,name,category,sub_type,management,education,poi_type,number_of_teachers,number_of_students,ward_code,source,ward_name,lga_code,lga_name,state_code,state_name,lon,lat,alternate_name
POINT,10.992485110000075,7.73931605000007,0c0bd404-6d2d-4706-a2b4-211340cc56f4,Damako Primary School,Primary,Primary,Public,Formal,School,,,KD2313,NMIS,Wuciciri,19023,Zaria,KD,Kaduna,7.73931605000007,10.992485110000075,
POINT,11.050239801000032,7.686599493000074,0c139e36-a1ee-44e3-89e5-a570841960b6,Government Secondary School Kofan Kuyanbana,Secondary,Standard,Public,Formal,School,,,KD2303,NMIS,Gyellesu,19023,Zaria,KD,Kaduna,7.686599493000074,11.050239801000032,
POINT,10.588860821000026,7.472224230000052,0c1876a8-41fd-4e0b-b87e-6e3f78f6fdde,LEA,Primary,Standard,Public,Formal,School,,,KD0408,NMIS,Rigachikun,19004,Igabi,KD,Kaduna,7.472224230000052,10.588860821000026,
POINT,11.310591100000067,7.916786671000068,0c22dce6-4489-4952-a993-36eff85de061,Universal Basic Education,Primary,Primary,Public,Formal,School,,,KD1804,NMIS,Gimi,19018,Makarfi,KD,Kaduna,7.916786671000068,11.310591100000067,
POINT,9.692885501000035,8.324360210000066,0c234614-1dc6-4c93-a384-290c162d5c27,Universal Basic Education Techet,Primary,Standard,Public,Formal,School,,,KD2205,NMIS,Madakiya,19022,Zangon Kataf,KD,Kaduna,8.324360210000066,9.692885501000035,
POINT,10.677114691000043,7.979556010000067,0c236fbd-1c5d-4edb-8198-568c666f73d0,LEA Amanawa,Primary,Primary,Public,Formal,School,,,KD1410,NMIS,Makami,19014,Kauru,KD,Kaduna,7.979556010000067,10.677114691000043,
POINT,10.300166670000067,8.547855000000027,0c2ec244-359b-4cad-bfec-72b590316e20,LEA Primary School Rimi Dogon Daji,Primary,Primary,Public,Formal,School,,,KD1709,NMIS,Raminkura,19017,Lere,KD,Kaduna,8.547855000000027,10.300166670000067,
POINT,10.462167809752714,7.442944620332412,0009a8af-3d0e-493b-a863-ac8a81706bb9,Maigana Road,,,,,,,,KD0207,eHA_Polio,Narayi,19002,Chikun,KD,Kaduna,7.442944620332412,10.462167809752714,
POINT,10.591158570395862,7.4060390502568225,000a2113-0498-44ec-a707-b7189b8b07c0,Manomi,,,,,,,,KD0401,eHA_Polio,Afaka,19004,Igabi,KD,Kaduna,7.4060390502568225,10.591158570395862,
POINT,10.54391009029274,7.466195490130303,000c8340-244b-402f-93db-9aade564b29f,Ohikere Road,,,,,,,,KD0910,eHA_Polio,Unguwar Rimi,19009,Kaduna North,KD,Kaduna,7.466195490130303,10.54391009029274,
POINT,10.4997846823116,7.441290018208235,000d2914-39a4-476e-a99f-46b107d88d01,Mopol Quarters,,,,,,,,KD0904,eHA_Polio,Kabala,19009,Kaduna North,KD,Kaduna,7.441290018208235,10.4997846823116,
POINT,10.591697199761825,7.465491439651942,000e4bd0-0625-4abe-9b49-b123dc672627,Jae Road 2,,,,,,,,KD0408,eHA_Polio,Rigachikun,19004,Igabi,KD,Kaduna,7.465491439651942,10.591697199761825,
POINT,9.724533779565036,7.682303159965329,000f8bed-d190-45c9-b3bf-9f3f794e183c,Rugan Monange,,,,,,,,KD0803,eHA_Polio,Awon,19008,Kachia,KD,Kaduna,7.682303159965329,9.724533779565036,
POINT,11.432477980032843,8.138013649599202,001366e5-a38c-40de-bd44-21b780e55488,Rugar Ahmadu,,,,,,,,KD0505,eHA_Polio,Kuya,19005,Ikara,KD,Kaduna,8.138013649599202,11.432477980032843,
POINT,10.974888910122615,8.138232959748166,00198559-d108-4676-853c-d4452bee599d,Rigar Ori,,,,,,,,KD2101,eHA_Polio,Danwata,19021,Soba,KD,Kaduna,8.138232959748166,10.974888910122615,
POINT,11.147308810273842,7.605595279845943,001fb8bf-5b69-4dc5-b60b-fea2aaac2d43,Rigan Wakili Saadu,,,,,,,,KD0308,eHA_Polio,Panhauya,19003,Giwa,KD,Kaduna,7.605595279845943,11.147308810273842,
POINT,10.53528493043234,7.436784790147101,0020208a-b21b-44f1-a486-fdc4f5927727,Water Board,,,,,,,,KD0911,eHA_Polio,Unguwar Sarki,19009,Kaduna North,KD,Kaduna,7.436784790147101,10.53528493043234,
POINT,10.263814229980767,7.039197970005546,0024cf8e-4d11-43be-9ce4-f11e2197955f,Lassapa,,,,,,,,KD0201,eHA_Polio,Chikun,19002,Chikun,KD,Kaduna,7.039197970005546,10.263814229980767,
